sigmaout,method,rep,rep_pred,beta,beta_rel,error_rel,error
1,CIV,38,49.5,0.0003018176350544457,0.021858433937559422,4.800662976767044,1.4952106860080847
1,CIV,39,49.5,0.00019132460800593885,0.032028586490806484,1.2320168700710292,1.5135152954649695
1,CIV,40,49.5,0.00926645022379255,0.14433959507687172,1.0196052161228764,2.2042783435074518
1,CIV,41,49.5,2.6192224031911456e-06,0.004575782794628745,2.0112573183196267,1.4171150161136654
1,CIV,42,49.5,0.02158665430265941,0.5444223998808948,1.381218446780703,1.443324983384593
1,CIV,43,49.5,0.021628925722257997,1.0107197554173453,1.3223391526304928,1.6566404641440762
1,CIV,44,49.5,0.02372808892750901,0.8074564600434251,2.9468183710949183,2.537778403082617
1,CIV,45,49.5,0.0006403745269021635,0.05313175154397707,1.5824890064902974,1.6451196856253671
1,CIV,46,49.5,0.0008018577232998832,0.04065197666685247,1.0115787884949732,1.7059513736646812
1,CIV,47,49.5,0.0038689364885590312,0.1827557845799145,1.1813848783921241,2.6432361344888893
1,CIV,48,49.5,0.0006216758653267853,0.036368150540262704,0.9223756980433445,2.2159414936428985
1,CIV,49,49.5,0.00039344349484373776,0.026734361133740312,2.0749006555621645,1.4478810416255226
1,CIV,50,49.5,0.0003274997167815016,0.020608471669197957,0.45378621769954797,1.5630462032307417
1,CIV,51,49.5,0.005238881224401895,0.24137557064737722,1.2079860083821015,2.3916511410600654
1,CIV,52,49.5,0.04589948178384577,0.4934755305589458,3.109569689855706,2.128352207647725
1,CIV,53,49.5,0.004574357930004688,0.1628029843440529,6.553968318683861,1.9121624734094536
1,CIV,54,49.5,0.2535016671300468,0.7054790731615561,0.8850748057025322,9.675436579583199
1,CIV,55,49.5,0.00028503429094216715,0.02839143592912566,1.1806954844850504,1.8141079273397707
1,CIV,56,49.5,0.000809907361256695,0.16081249108524542,0.870041093895838,1.8541173586078405
1,CIV,57,49.5,0.001836974052914086,0.07575962664710979,10.56229811839249,1.8647207953662428
1,CIV,58,49.5,0.00011818957306247516,0.020210629918408555,1.9514156007997683,1.4984624382625253
1,CIV,59,49.5,0.0005223710400095994,0.049671733798360915,1.6285590224257276,1.4686384362886937
1,CIV,60,49.5,0.0015278525216624813,0.04372391539616321,1.1599783638405166,2.2996162534364992
1,CIV,61,49.5,0.0002900609376990378,0.03683244316790702,0.8045073216509058,1.8168412965345424
1,CIV,62,49.5,2.9208131046139e-05,0.007853535630417342,2.195855406393199,1.2764993788395163
1,CIV,63,49.5,0.014088823678242948,0.18382820638533215,1.131362330521907,1.9455530879275713
