n,method,error
1000,"CIV$_{I,X,Y}$",0.010565377608749937
1000,CIV$_{I}$,0.012780413483534961
1000,NIV$_{1 \textrm{ lag}}$,0.010442748459581746
1000,NIV$_{3 \textrm{ lags}}$,0.009837840294154288
10000,"CIV$_{I,X,Y}$",0.00228359381073628
10000,CIV$_{I}$,0.0021934508891635115
10000,NIV$_{1 \textrm{ lag}}$,0.0005070109852459671
10000,NIV$_{3 \textrm{ lags}}$,0.0005569762941624991
100,"CIV$_{I,X,Y}$",2.050078332625672
100,CIV$_{I}$,4.679212748095956
100,NIV$_{1 \textrm{ lag}}$,123.61034578238264
100,NIV$_{3 \textrm{ lags}}$,0.0346709109827818
1000,"CIV$_{I,X,Y}$",1.1409140268139442
1000,CIV$_{I}$,26.490368976278138
1000,NIV$_{1 \textrm{ lag}}$,0.039733797760794776
1000,NIV$_{3 \textrm{ lags}}$,0.000998558668678947
10000,"CIV$_{I,X,Y}$",0.13844773011117112
10000,CIV$_{I}$,1.3598176570057996
10000,NIV$_{1 \textrm{ lag}}$,0.0011353194936624324
10000,NIV$_{3 \textrm{ lags}}$,0.00010702342186458327
100,"CIV$_{I,X,Y}$",0.16055437440413184
100,CIV$_{I}$,0.13624383589019662
100,NIV$_{1 \textrm{ lag}}$,0.281644610769011
100,NIV$_{3 \textrm{ lags}}$,0.08930933890110292
1000,"CIV$_{I,X,Y}$",0.005430403394521655
1000,CIV$_{I}$,0.007316508839450675
1000,NIV$_{1 \textrm{ lag}}$,0.01097473461005177
1000,NIV$_{3 \textrm{ lags}}$,0.006938254418884937
10000,"CIV$_{I,X,Y}$",0.0005148008628456096
10000,CIV$_{I}$,0.0005087518680418694
10000,NIV$_{1 \textrm{ lag}}$,0.0006995770011030253
10000,NIV$_{3 \textrm{ lags}}$,0.00042194499234236675
100,"CIV$_{I,X,Y}$",0.026693632711179315
100,CIV$_{I}$,0.05946329742128942
100,NIV$_{1 \textrm{ lag}}$,0.04579407564302334
100,NIV$_{3 \textrm{ lags}}$,0.01985373614345002
1000,"CIV$_{I,X,Y}$",0.003068118234816728
1000,CIV$_{I}$,0.004304464368217683
1000,NIV$_{1 \textrm{ lag}}$,0.003229195180400389
1000,NIV$_{3 \textrm{ lags}}$,0.00154866984439295
10000,"CIV$_{I,X,Y}$",0.0004178196366911911
10000,CIV$_{I}$,0.0007360978123524928
10000,NIV$_{1 \textrm{ lag}}$,0.00023285365678243057
10000,NIV$_{3 \textrm{ lags}}$,8.418982578600684e-05
100,"CIV$_{I,X,Y}$",0.09860205788727774
100,CIV$_{I}$,0.1606463458172066
100,NIV$_{1 \textrm{ lag}}$,0.13253763245373545
100,NIV$_{3 \textrm{ lags}}$,0.031078416006174475
1000,"CIV$_{I,X,Y}$",0.005651594531810653
1000,CIV$_{I}$,0.0117031276115611
1000,NIV$_{1 \textrm{ lag}}$,0.216258227111258
1000,NIV$_{3 \textrm{ lags}}$,0.0031977671428376495
10000,"CIV$_{I,X,Y}$",0.000530161735600872
10000,CIV$_{I}$,0.000985450488268271
10000,NIV$_{1 \textrm{ lag}}$,0.000717608961581688
10000,NIV$_{3 \textrm{ lags}}$,0.00033957398819465054
100,"CIV$_{I,X,Y}$",0.09405611749476585
100,CIV$_{I}$,0.15870049373292439
100,NIV$_{1 \textrm{ lag}}$,22.210067324691
100,NIV$_{3 \textrm{ lags}}$,0.032714207947410305
1000,"CIV$_{I,X,Y}$",0.002196052107501476
1000,CIV$_{I}$,0.006962510993449693
1000,NIV$_{1 \textrm{ lag}}$,0.3842674199289709
1000,NIV$_{3 \textrm{ lags}}$,0.0022977267619650322
10000,"CIV$_{I,X,Y}$",0.00045627087576005616
10000,CIV$_{I}$,0.00040884860175864504
10000,NIV$_{1 \textrm{ lag}}$,0.0004084950061035735
10000,NIV$_{3 \textrm{ lags}}$,0.00025132145516456466
100,"CIV$_{I,X,Y}$",0.02501994967350482
100,CIV$_{I}$,0.05033015744715251
100,NIV$_{1 \textrm{ lag}}$,0.5903096739121978
100,NIV$_{3 \textrm{ lags}}$,0.034762102983193086
1000,"CIV$_{I,X,Y}$",0.0030458127577238465
1000,CIV$_{I}$,0.003470753654997495
1000,NIV$_{1 \textrm{ lag}}$,0.010424057138930309
1000,NIV$_{3 \textrm{ lags}}$,0.0014874300677952122
10000,"CIV$_{I,X,Y}$",0.0005310004710486875
10000,CIV$_{I}$,0.000700721391214214
10000,NIV$_{1 \textrm{ lag}}$,0.00065223905988529
10000,NIV$_{3 \textrm{ lags}}$,0.00016579463136103404
100,"CIV$_{I,X,Y}$",0.032777895731749336
100,CIV$_{I}$,0.05043131004082173
100,NIV$_{1 \textrm{ lag}}$,0.6982838668737952
100,NIV$_{3 \textrm{ lags}}$,0.054144145261345145
1000,"CIV$_{I,X,Y}$",0.003857519419880081
1000,CIV$_{I}$,0.005305019094587226
1000,NIV$_{1 \textrm{ lag}}$,1.3640935665042786
1000,NIV$_{3 \textrm{ lags}}$,0.0027254726805056553
10000,"CIV$_{I,X,Y}$",0.0003555492133858789
10000,CIV$_{I}$,0.0003466366537808595
10000,NIV$_{1 \textrm{ lag}}$,0.0014904657054421943
10000,NIV$_{3 \textrm{ lags}}$,0.00024870399291360894
100,"CIV$_{I,X,Y}$",1.76943158900685
100,CIV$_{I}$,5.466013400989892
100,NIV$_{1 \textrm{ lag}}$,0.402296760126757
100,NIV$_{3 \textrm{ lags}}$,0.3023373528818718
1000,"CIV$_{I,X,Y}$",0.05598343223481074
1000,CIV$_{I}$,0.10508725271818453
1000,NIV$_{1 \textrm{ lag}}$,0.0074609785293011915
1000,NIV$_{3 \textrm{ lags}}$,0.010824334971704066
10000,"CIV$_{I,X,Y}$",0.003856210348649311
10000,CIV$_{I}$,0.00902859734520595
10000,NIV$_{1 \textrm{ lag}}$,0.0012937386175958191
10000,NIV$_{3 \textrm{ lags}}$,0.001953572487091104
100,"CIV$_{I,X,Y}$",0.12280926185045982
100,CIV$_{I}$,0.5194084264978003
100,NIV$_{1 \textrm{ lag}}$,0.10264515332721365
100,NIV$_{3 \textrm{ lags}}$,0.051375521478542865
1000,"CIV$_{I,X,Y}$",0.0120390309062123
1000,CIV$_{I}$,0.014178574288824321
1000,NIV$_{1 \textrm{ lag}}$,0.004433719641976136
1000,NIV$_{3 \textrm{ lags}}$,0.0015318270162507186
10000,"CIV$_{I,X,Y}$",0.003221231730819352
10000,CIV$_{I}$,0.012995105027648779
10000,NIV$_{1 \textrm{ lag}}$,0.002359703311088602
10000,NIV$_{3 \textrm{ lags}}$,0.00031707267619412863
100,"CIV$_{I,X,Y}$",0.03440843312107558
100,CIV$_{I}$,0.15159074436737502
100,NIV$_{1 \textrm{ lag}}$,0.13009074394494521
100,NIV$_{3 \textrm{ lags}}$,0.03666766353590719
1000,"CIV$_{I,X,Y}$",0.0040171486237935905
1000,CIV$_{I}$,0.05430815799119689
1000,NIV$_{1 \textrm{ lag}}$,0.0027576099628923755
1000,NIV$_{3 \textrm{ lags}}$,0.0017252007425164737
10000,"CIV$_{I,X,Y}$",0.0005205523472742372
10000,CIV$_{I}$,0.005442132331121644
10000,NIV$_{1 \textrm{ lag}}$,0.00018684813792606189
10000,NIV$_{3 \textrm{ lags}}$,0.0002414977983885173
100,"CIV$_{I,X,Y}$",3.6130646772384765
100,CIV$_{I}$,0.41713080633010235
100,NIV$_{1 \textrm{ lag}}$,0.44171373583732815
100,NIV$_{3 \textrm{ lags}}$,0.22626238732376763
1000,"CIV$_{I,X,Y}$",0.2672024759838517
1000,CIV$_{I}$,1.7335764771190074
1000,NIV$_{1 \textrm{ lag}}$,0.11420736619702707
1000,NIV$_{3 \textrm{ lags}}$,0.07015561899664527
10000,"CIV$_{I,X,Y}$",0.016724606528625025
10000,CIV$_{I}$,0.015639366169062092
10000,NIV$_{1 \textrm{ lag}}$,0.007148110447969569
10000,NIV$_{3 \textrm{ lags}}$,0.001446903551904349
100,"CIV$_{I,X,Y}$",0.1821830637246063
100,CIV$_{I}$,0.1966955676652355
100,NIV$_{1 \textrm{ lag}}$,0.902476755938296
100,NIV$_{3 \textrm{ lags}}$,0.05723766796948139
1000,"CIV$_{I,X,Y}$",0.02026156948896357
1000,CIV$_{I}$,0.01895545761957767
1000,NIV$_{1 \textrm{ lag}}$,0.012011949601628082
1000,NIV$_{3 \textrm{ lags}}$,0.0095858841106009
10000,"CIV$_{I,X,Y}$",0.0009463986275077462
10000,CIV$_{I}$,0.0009193902979415556
10000,NIV$_{1 \textrm{ lag}}$,0.0009162015464027372
10000,NIV$_{3 \textrm{ lags}}$,0.0003626135363367656
100,"CIV$_{I,X,Y}$",0.10225413715782658
100,CIV$_{I}$,0.22657037296253724
100,NIV$_{1 \textrm{ lag}}$,0.8175976834837371
100,NIV$_{3 \textrm{ lags}}$,0.023541402808309686
1000,"CIV$_{I,X,Y}$",0.013822425592127336
1000,CIV$_{I}$,0.027999756750106054
1000,NIV$_{1 \textrm{ lag}}$,0.055337088630091305
1000,NIV$_{3 \textrm{ lags}}$,0.0013522432853966021
10000,"CIV$_{I,X,Y}$",0.001608087506491987
10000,CIV$_{I}$,0.0019631923815574036
10000,NIV$_{1 \textrm{ lag}}$,0.0049973048974239
10000,NIV$_{3 \textrm{ lags}}$,0.00019503366177431214
100,"CIV$_{I,X,Y}$",0.049802264504773854
100,CIV$_{I}$,0.09379548719559662
100,NIV$_{1 \textrm{ lag}}$,0.020588912586869686
100,NIV$_{3 \textrm{ lags}}$,0.024840257217821383
1000,"CIV$_{I,X,Y}$",0.00648781933325427
1000,CIV$_{I}$,0.0061604716901245814
1000,NIV$_{1 \textrm{ lag}}$,0.0020795794383006968
1000,NIV$_{3 \textrm{ lags}}$,0.003413166486343669
10000,"CIV$_{I,X,Y}$",0.000577130976704561
10000,CIV$_{I}$,0.0012025964078877136
10000,NIV$_{1 \textrm{ lag}}$,0.00010481930903100676
10000,NIV$_{3 \textrm{ lags}}$,0.00015162970289845585
100,"CIV$_{I,X,Y}$",0.024096405364858558
100,CIV$_{I}$,0.6074962679281845
100,NIV$_{1 \textrm{ lag}}$,1.289429869536803
100,NIV$_{3 \textrm{ lags}}$,0.033077553337283204
1000,"CIV$_{I,X,Y}$",0.0027226290376791756
1000,CIV$_{I}$,0.04119027753759148
1000,NIV$_{1 \textrm{ lag}}$,0.006104909641166854
1000,NIV$_{3 \textrm{ lags}}$,0.0007587883888018283
10000,"CIV$_{I,X,Y}$",0.00011720399152991248
10000,CIV$_{I}$,0.0040688991080948065
10000,NIV$_{1 \textrm{ lag}}$,0.00022392925323629526
10000,NIV$_{3 \textrm{ lags}}$,6.65737403383062e-05
100,"CIV$_{I,X,Y}$",4.917752500962598
100,CIV$_{I}$,16.12405572782651
100,NIV$_{1 \textrm{ lag}}$,0.4604231095609356
100,NIV$_{3 \textrm{ lags}}$,0.04211234156859226
1000,"CIV$_{I,X,Y}$",0.021435038368912366
1000,CIV$_{I}$,2.7061521423788415
1000,NIV$_{1 \textrm{ lag}}$,0.008757563811627022
1000,NIV$_{3 \textrm{ lags}}$,0.0027738104008227372
10000,"CIV$_{I,X,Y}$",0.0014910236745814714
10000,CIV$_{I}$,0.01606691615615658
10000,NIV$_{1 \textrm{ lag}}$,0.0010540954386279119
10000,NIV$_{3 \textrm{ lags}}$,0.0003476473553205722
100,"CIV$_{I,X,Y}$",0.17140896135151915
100,CIV$_{I}$,0.15944179719635873
100,NIV$_{1 \textrm{ lag}}$,0.16015227991612171
100,NIV$_{3 \textrm{ lags}}$,0.11107660221229518
1000,"CIV$_{I,X,Y}$",0.058006769299189874
1000,CIV$_{I}$,0.03578661039153262
1000,NIV$_{1 \textrm{ lag}}$,0.023678964431327856
1000,NIV$_{3 \textrm{ lags}}$,0.001165700405522045
10000,"CIV$_{I,X,Y}$",0.010369367074998033
10000,CIV$_{I}$,0.01173244567609557
10000,NIV$_{1 \textrm{ lag}}$,0.0012920955673669124
10000,NIV$_{3 \textrm{ lags}}$,0.00010604633514749084
100,"CIV$_{I,X,Y}$",0.24398264610217274
100,CIV$_{I}$,1.9287746306538587
100,NIV$_{1 \textrm{ lag}}$,12.72570055505433
100,NIV$_{3 \textrm{ lags}}$,0.03354228963256283
1000,"CIV$_{I,X,Y}$",0.006572161090313335
1000,CIV$_{I}$,0.010698869396383894
1000,NIV$_{1 \textrm{ lag}}$,1.5582671502253302
1000,NIV$_{3 \textrm{ lags}}$,0.001218177279844914
10000,"CIV$_{I,X,Y}$",0.0009377108591430606
10000,CIV$_{I}$,0.002303769338085297
10000,NIV$_{1 \textrm{ lag}}$,0.004878546939873831
10000,NIV$_{3 \textrm{ lags}}$,0.00020110694137845638
100,"CIV$_{I,X,Y}$",0.020703919277795118
100,CIV$_{I}$,0.0687282789702727
100,NIV$_{1 \textrm{ lag}}$,1.049348712749271
100,NIV$_{3 \textrm{ lags}}$,0.012803566592112311
1000,"CIV$_{I,X,Y}$",0.0040176352948577245
1000,CIV$_{I}$,0.003931077773258097
1000,NIV$_{1 \textrm{ lag}}$,0.015786351665100222
1000,NIV$_{3 \textrm{ lags}}$,0.0010085407041654614
10000,"CIV$_{I,X,Y}$",0.0002707584226365754
10000,CIV$_{I}$,0.0006199357439407125
10000,NIV$_{1 \textrm{ lag}}$,0.000981040177630074
10000,NIV$_{3 \textrm{ lags}}$,8.509105177960266e-05
100,"CIV$_{I,X,Y}$",0.1045925197388105
100,CIV$_{I}$,1.684102770955361
100,NIV$_{1 \textrm{ lag}}$,0.8238750727686396
100,NIV$_{3 \textrm{ lags}}$,0.04356638812728634
1000,"CIV$_{I,X,Y}$",0.0050045372631267356
1000,CIV$_{I}$,0.2200169102537944
1000,NIV$_{1 \textrm{ lag}}$,0.1670283855813015
1000,NIV$_{3 \textrm{ lags}}$,0.002813505230336526
10000,"CIV$_{I,X,Y}$",0.0004438685766004956
10000,CIV$_{I}$,0.016987361330675653
10000,NIV$_{1 \textrm{ lag}}$,0.01910954373474293
10000,NIV$_{3 \textrm{ lags}}$,0.0002952596794612388
100,"CIV$_{I,X,Y}$",0.09300857282490248
100,CIV$_{I}$,0.21794621000131445
100,NIV$_{1 \textrm{ lag}}$,370.76336184699045
100,NIV$_{3 \textrm{ lags}}$,0.0636024196824343
1000,"CIV$_{I,X,Y}$",0.0034797276767377324
1000,CIV$_{I}$,0.010518021950966952
1000,NIV$_{1 \textrm{ lag}}$,0.0046145688690606805
1000,NIV$_{3 \textrm{ lags}}$,0.0016280836940696587
10000,"CIV$_{I,X,Y}$",0.00043209726100904846
10000,CIV$_{I}$,0.0008569067003633239
10000,NIV$_{1 \textrm{ lag}}$,0.000788420090058413
