n,method,error
1000,CIV$_{I}$,0.02663193235789692
1000,NIV$_{1 \textrm{ lag}}$,0.004416670670250728
1000,NIV$_{3 \textrm{ lags}}$,0.0017473573547557065
10000,"CIV$_{I,X,Y}$",0.0013993164624441158
10000,CIV$_{I}$,0.0037909027683358256
10000,NIV$_{1 \textrm{ lag}}$,0.00045486906142341594
10000,NIV$_{3 \textrm{ lags}}$,0.0001352077290158812
100,"CIV$_{I,X,Y}$",2.9195428197141466
100,CIV$_{I}$,0.49177712737694035
100,NIV$_{1 \textrm{ lag}}$,3.166065942010618
100,NIV$_{3 \textrm{ lags}}$,0.0289011661310496
1000,"CIV$_{I,X,Y}$",0.04181405256295085
1000,CIV$_{I}$,0.04161190536970736
1000,NIV$_{1 \textrm{ lag}}$,1857.7112621453666
1000,NIV$_{3 \textrm{ lags}}$,0.0023357272437485935
10000,"CIV$_{I,X,Y}$",0.002103322920905195
10000,CIV$_{I}$,0.003425864959385921
10000,NIV$_{1 \textrm{ lag}}$,0.1583917801287204
10000,NIV$_{3 \textrm{ lags}}$,0.00021176024862829316
100,"CIV$_{I,X,Y}$",0.029252489710192286
100,CIV$_{I}$,0.15465520288529327
100,NIV$_{1 \textrm{ lag}}$,0.42811253097592294
100,NIV$_{3 \textrm{ lags}}$,0.015651607871702854
1000,"CIV$_{I,X,Y}$",0.0025150639269834853
1000,CIV$_{I}$,0.002421988839350868
1000,NIV$_{1 \textrm{ lag}}$,0.05185842462145136
1000,NIV$_{3 \textrm{ lags}}$,0.001265388038135736
10000,"CIV$_{I,X,Y}$",0.00019885677923016772
10000,CIV$_{I}$,0.0003116639880678686
10000,NIV$_{1 \textrm{ lag}}$,0.002220117442756271
10000,NIV$_{3 \textrm{ lags}}$,6.252870784976522e-05
100,"CIV$_{I,X,Y}$",0.0406984243803816
100,CIV$_{I}$,0.04994630264896883
100,NIV$_{1 \textrm{ lag}}$,0.028062562619110682
100,NIV$_{3 \textrm{ lags}}$,0.054594255148649254
1000,"CIV$_{I,X,Y}$",0.005125239712071948
1000,CIV$_{I}$,0.0053836171556661825
1000,NIV$_{1 \textrm{ lag}}$,0.0028794182355393926
1000,NIV$_{3 \textrm{ lags}}$,0.0037280143038852962
10000,"CIV$_{I,X,Y}$",0.00019966010572291292
10000,CIV$_{I}$,0.00023991546871224124
10000,NIV$_{1 \textrm{ lag}}$,0.00028279581567479303
10000,NIV$_{3 \textrm{ lags}}$,0.0003359339260075183
100,"CIV$_{I,X,Y}$",0.07233691699626893
100,CIV$_{I}$,0.13113899780174396
100,NIV$_{1 \textrm{ lag}}$,0.019771687072785316
100,NIV$_{3 \textrm{ lags}}$,0.03466063876777542
1000,"CIV$_{I,X,Y}$",0.007691161332108754
1000,CIV$_{I}$,0.023473585144808882
1000,NIV$_{1 \textrm{ lag}}$,0.002164455198013134
1000,NIV$_{3 \textrm{ lags}}$,0.000786686344251447
10000,"CIV$_{I,X,Y}$",0.0015714553052609465
10000,CIV$_{I}$,0.0017177668215005374
10000,NIV$_{1 \textrm{ lag}}$,0.0005443398984673003
10000,NIV$_{3 \textrm{ lags}}$,0.00029852360488722026
100,"CIV$_{I,X,Y}$",0.021669901926048084
100,CIV$_{I}$,0.06124527279841439
100,NIV$_{1 \textrm{ lag}}$,0.0541267318732643
100,NIV$_{3 \textrm{ lags}}$,0.009731598855206695
1000,"CIV$_{I,X,Y}$",0.008781998908182214
1000,CIV$_{I}$,0.009233963211129466
1000,NIV$_{1 \textrm{ lag}}$,0.009430351527065145
1000,NIV$_{3 \textrm{ lags}}$,0.002346233223412092
10000,"CIV$_{I,X,Y}$",0.0008001391246486099
10000,CIV$_{I}$,0.0007829624927491186
10000,NIV$_{1 \textrm{ lag}}$,0.0004866535015566411
10000,NIV$_{3 \textrm{ lags}}$,6.256032016827739e-05
100,"CIV$_{I,X,Y}$",0.12687335987521173
100,CIV$_{I}$,0.19078753737805432
100,NIV$_{1 \textrm{ lag}}$,0.5741048295840495
100,NIV$_{3 \textrm{ lags}}$,0.05829696124146875
1000,"CIV$_{I,X,Y}$",0.010666971902866895
1000,CIV$_{I}$,0.02882902148585344
1000,NIV$_{1 \textrm{ lag}}$,0.37819443226765637
1000,NIV$_{3 \textrm{ lags}}$,0.006139465073440089
10000,"CIV$_{I,X,Y}$",0.0014718402421872705
10000,CIV$_{I}$,0.0038211381777097015
10000,NIV$_{1 \textrm{ lag}}$,1.0834099660521495
10000,NIV$_{3 \textrm{ lags}}$,0.0003784259509881051
100,"CIV$_{I,X,Y}$",0.030338024286603916
100,CIV$_{I}$,0.15821338398255802
100,NIV$_{1 \textrm{ lag}}$,528.1959387880632
100,NIV$_{3 \textrm{ lags}}$,0.046215149894627106
1000,"CIV$_{I,X,Y}$",0.007015121676964412
1000,CIV$_{I}$,0.010821383752960453
1000,NIV$_{1 \textrm{ lag}}$,24.523594469073668
1000,NIV$_{3 \textrm{ lags}}$,0.0013627571880049831
10000,"CIV$_{I,X,Y}$",0.0005802764263538559
10000,CIV$_{I}$,0.0009449857963444136
10000,NIV$_{1 \textrm{ lag}}$,3.973097811019703
10000,NIV$_{3 \textrm{ lags}}$,0.00011789712624723628
100,"CIV$_{I,X,Y}$",0.14296886917858548
100,CIV$_{I}$,0.9751147159980071
100,NIV$_{1 \textrm{ lag}}$,4.499197811614147
100,NIV$_{3 \textrm{ lags}}$,0.06137860328162027
1000,"CIV$_{I,X,Y}$",0.006123414325414656
1000,CIV$_{I}$,0.06030494666752739
1000,NIV$_{1 \textrm{ lag}}$,0.0023049018913097463
1000,NIV$_{3 \textrm{ lags}}$,0.004754509548035595
10000,"CIV$_{I,X,Y}$",0.00021994456246221848
10000,CIV$_{I}$,0.00478858618770337
10000,NIV$_{1 \textrm{ lag}}$,0.0005165541737202459
10000,NIV$_{3 \textrm{ lags}}$,0.00031514290836180995
100,"CIV$_{I,X,Y}$",0.04294130104477877
100,CIV$_{I}$,0.0821348288740325
100,NIV$_{1 \textrm{ lag}}$,0.014860197108222395
100,NIV$_{3 \textrm{ lags}}$,0.086102457762593
1000,"CIV$_{I,X,Y}$",0.0053408777566697945
1000,CIV$_{I}$,0.015555438432391011
1000,NIV$_{1 \textrm{ lag}}$,0.001627759483173314
1000,NIV$_{3 \textrm{ lags}}$,0.0020904864632315416
10000,"CIV$_{I,X,Y}$",0.0009864218010654673
10000,CIV$_{I}$,0.0011341723090066429
10000,NIV$_{1 \textrm{ lag}}$,0.00014758561774998546
10000,NIV$_{3 \textrm{ lags}}$,7.172785536959056e-05
100,"CIV$_{I,X,Y}$",0.06705920056756592
100,CIV$_{I}$,1.2086169901010833
100,NIV$_{1 \textrm{ lag}}$,1.305514635000771
100,NIV$_{3 \textrm{ lags}}$,0.041414171225096566
1000,"CIV$_{I,X,Y}$",0.006930972790289802
1000,CIV$_{I}$,0.17311635004282616
1000,NIV$_{1 \textrm{ lag}}$,0.004558180215188273
1000,NIV$_{3 \textrm{ lags}}$,0.005403591664380166
10000,"CIV$_{I,X,Y}$",0.0006612698083167456
10000,CIV$_{I}$,0.020230742579699562
10000,NIV$_{1 \textrm{ lag}}$,0.0004711037920865268
10000,NIV$_{3 \textrm{ lags}}$,0.00043727728580839135
100,"CIV$_{I,X,Y}$",0.04908734840041031
100,CIV$_{I}$,0.07287861943173161
100,NIV$_{1 \textrm{ lag}}$,0.022022531389971154
100,NIV$_{3 \textrm{ lags}}$,0.013849360222366564
1000,"CIV$_{I,X,Y}$",0.002008867574752789
1000,CIV$_{I}$,0.0033202644799099784
1000,NIV$_{1 \textrm{ lag}}$,0.0009985368960708197
1000,NIV$_{3 \textrm{ lags}}$,0.0008013563029829268
10000,"CIV$_{I,X,Y}$",0.0005392731833097393
10000,CIV$_{I}$,0.0005913813959126533
10000,NIV$_{1 \textrm{ lag}}$,6.508814392595581e-05
10000,NIV$_{3 \textrm{ lags}}$,3.5309380472395475e-05
100,"CIV$_{I,X,Y}$",0.2668250755471958
100,CIV$_{I}$,6.571804101079176
100,NIV$_{1 \textrm{ lag}}$,4.540861659473956
100,NIV$_{3 \textrm{ lags}}$,0.07053820254425128
1000,"CIV$_{I,X,Y}$",0.0408600331503391
1000,CIV$_{I}$,0.4967620914282268
1000,NIV$_{1 \textrm{ lag}}$,0.2500708224687968
1000,NIV$_{3 \textrm{ lags}}$,0.023791444878327052
10000,"CIV$_{I,X,Y}$",0.0027423299101919717
10000,CIV$_{I}$,0.03705076085661792
10000,NIV$_{1 \textrm{ lag}}$,0.0028510156334778545
10000,NIV$_{3 \textrm{ lags}}$,0.0016740308437049104
100,"CIV$_{I,X,Y}$",0.05937001476620628
100,CIV$_{I}$,0.12928546888201758
100,NIV$_{1 \textrm{ lag}}$,0.19674549554488038
100,NIV$_{3 \textrm{ lags}}$,0.0601891192472687
1000,"CIV$_{I,X,Y}$",0.004678912061819496
1000,CIV$_{I}$,0.008887930293716104
1000,NIV$_{1 \textrm{ lag}}$,5.7406621008484935
1000,NIV$_{3 \textrm{ lags}}$,0.0017615007513907537
10000,"CIV$_{I,X,Y}$",0.0007226945773054173
10000,CIV$_{I}$,0.0008052433724708319
10000,NIV$_{1 \textrm{ lag}}$,1.244972185707082
10000,NIV$_{3 \textrm{ lags}}$,0.00015630337851222606
100,"CIV$_{I,X,Y}$",0.042924732774648935
100,CIV$_{I}$,0.9729374870431619
100,NIV$_{1 \textrm{ lag}}$,0.19020693802356198
100,NIV$_{3 \textrm{ lags}}$,0.02940411245945615
1000,"CIV$_{I,X,Y}$",0.007321003770841589
1000,CIV$_{I}$,0.01730770452141752
1000,NIV$_{1 \textrm{ lag}}$,0.033676392897216585
1000,NIV$_{3 \textrm{ lags}}$,0.0021028271703674535
10000,"CIV$_{I,X,Y}$",0.0005973659354804711
10000,CIV$_{I}$,0.001626573058829827
10000,NIV$_{1 \textrm{ lag}}$,0.0006440807313444991
10000,NIV$_{3 \textrm{ lags}}$,0.0001032229709632944
100,"CIV$_{I,X,Y}$",0.6970868486599684
100,CIV$_{I}$,0.8090765020836066
100,NIV$_{1 \textrm{ lag}}$,1.1204354633017373
100,NIV$_{3 \textrm{ lags}}$,0.02663385370849458
1000,"CIV$_{I,X,Y}$",0.05306283945607274
1000,CIV$_{I}$,0.05370374845548258
1000,NIV$_{1 \textrm{ lag}}$,0.4636816938712946
1000,NIV$_{3 \textrm{ lags}}$,0.0026766545528002983
10000,"CIV$_{I,X,Y}$",0.00921300703839779
10000,CIV$_{I}$,0.010217891011575955
10000,NIV$_{1 \textrm{ lag}}$,0.003714012971556167
10000,NIV$_{3 \textrm{ lags}}$,0.0002337190454324721
100,"CIV$_{I,X,Y}$",1.742349408053737
100,CIV$_{I}$,8.942062355114881
100,NIV$_{1 \textrm{ lag}}$,28.318218839031744
100,NIV$_{3 \textrm{ lags}}$,0.501405064384474
1000,"CIV$_{I,X,Y}$",1.143346004295473
1000,CIV$_{I}$,1.8859435312579726
1000,NIV$_{1 \textrm{ lag}}$,0.41809851229535927
1000,NIV$_{3 \textrm{ lags}}$,0.07992811937813452
10000,"CIV$_{I,X,Y}$",0.11999348143076487
10000,CIV$_{I}$,0.16495961934532086
10000,NIV$_{1 \textrm{ lag}}$,0.0037095559248542117
10000,NIV$_{3 \textrm{ lags}}$,0.004075725847363787
100,"CIV$_{I,X,Y}$",0.04221409695741881
100,CIV$_{I}$,0.037855377103738555
100,NIV$_{1 \textrm{ lag}}$,0.0705029424857827
100,NIV$_{3 \textrm{ lags}}$,0.017751561551351984
1000,"CIV$_{I,X,Y}$",0.001785073645557776
1000,CIV$_{I}$,0.0022413823872325725
1000,NIV$_{1 \textrm{ lag}}$,0.0011727911587561533
1000,NIV$_{3 \textrm{ lags}}$,0.0011109042341687736
10000,"CIV$_{I,X,Y}$",0.00026783201660833306
10000,CIV$_{I}$,0.0003242720961447692
10000,NIV$_{1 \textrm{ lag}}$,0.00017055454461929027
10000,NIV$_{3 \textrm{ lags}}$,0.00016342906683341308
100,"CIV$_{I,X,Y}$",0.06404801324617723
100,CIV$_{I}$,0.08435423535874739
100,NIV$_{1 \textrm{ lag}}$,0.09657625317808996
100,NIV$_{3 \textrm{ lags}}$,0.05457299837052718
1000,"CIV$_{I,X,Y}$",0.0017437868304539539
1000,CIV$_{I}$,0.0015598114246619375
1000,NIV$_{1 \textrm{ lag}}$,0.004398608483756302
1000,NIV$_{3 \textrm{ lags}}$,0.003272108440879308
10000,"CIV$_{I,X,Y}$",0.00029936127556035117
10000,CIV$_{I}$,0.0002823529090350717
10000,NIV$_{1 \textrm{ lag}}$,0.0006077304582043681
10000,NIV$_{3 \textrm{ lags}}$,0.00023273345192424607
100,"CIV$_{I,X,Y}$",0.05609788604493846
100,CIV$_{I}$,0.1828695336205694
100,NIV$_{1 \textrm{ lag}}$,0.5064078796448197
100,NIV$_{3 \textrm{ lags}}$,0.1422352824330068
1000,"CIV$_{I,X,Y}$",0.004844053309275008
1000,CIV$_{I}$,0.016004879257840728
1000,NIV$_{1 \textrm{ lag}}$,0.0025651019390138356
1000,NIV$_{3 \textrm{ lags}}$,0.0010816730866559903
10000,"CIV$_{I,X,Y}$",0.00040222025978412965
10000,CIV$_{I}$,0.0006629254849401307
10000,NIV$_{1 \textrm{ lag}}$,0.00020855202423265682
10000,NIV$_{3 \textrm{ lags}}$,0.00017320275355113313
100,"CIV$_{I,X,Y}$",0.06251047296407583
100,CIV$_{I}$,0.152297940892031
100,NIV$_{1 \textrm{ lag}}$,0.026689121562719277
100,NIV$_{3 \textrm{ lags}}$,0.0408521480681361
1000,"CIV$_{I,X,Y}$",0.00576032944510922
1000,CIV$_{I}$,0.03864987025453967
1000,NIV$_{1 \textrm{ lag}}$,0.005854564351060994
1000,NIV$_{3 \textrm{ lags}}$,0.002678509028608101
10000,"CIV$_{I,X,Y}$",0.0008890709764549481
10000,CIV$_{I}$,0.005117143167192896
10000,NIV$_{1 \textrm{ lag}}$,0.0006014602634506849
10000,NIV$_{3 \textrm{ lags}}$,0.0008466175000685901
100,"CIV$_{I,X,Y}$",0.16804287950130944
100,CIV$_{I}$,0.5740633880283983
100,NIV$_{1 \textrm{ lag}}$,0.09900964095421969
100,NIV$_{3 \textrm{ lags}}$,0.008985867520135261
1000,"CIV$_{I,X,Y}$",0.01123134242515982
1000,CIV$_{I}$,0.021434530861876855
1000,NIV$_{1 \textrm{ lag}}$,0.6404566812216136
1000,NIV$_{3 \textrm{ lags}}$,0.0013225567326673525
10000,"CIV$_{I,X,Y}$",0.0018299384588399922
10000,CIV$_{I}$,0.0021602690491312423
10000,NIV$_{1 \textrm{ lag}}$,0.0023945080901537938
10000,NIV$_{3 \textrm{ lags}}$,0.0002532459233834203
100,"CIV$_{I,X,Y}$",0.07168653474351058
100,CIV$_{I}$,0.055364066104851985
100,NIV$_{1 \textrm{ lag}}$,0.282539170464799
100,NIV$_{3 \textrm{ lags}}$,0.07124761110271843
1000,"CIV$_{I,X,Y}$",0.005091232804530136
1000,CIV$_{I}$,0.005544724985467386
1000,NIV$_{1 \textrm{ lag}}$,0.0062772756482323945
1000,NIV$_{3 \textrm{ lags}}$,0.0038008830776159993
10000,"CIV$_{I,X,Y}$",0.00037276860563220383
10000,CIV$_{I}$,0.0003944642469527112
10000,NIV$_{1 \textrm{ lag}}$,0.0004433632475799122
10000,NIV$_{3 \textrm{ lags}}$,0.00023752743469542974
100,"CIV$_{I,X,Y}$",0.9631678194135812
100,CIV$_{I}$,1.9692999172779952
100,NIV$_{1 \textrm{ lag}}$,0.16003196720910803
100,NIV$_{3 \textrm{ lags}}$,0.026358167923708615
1000,"CIV$_{I,X,Y}$",0.12070039190639206
1000,CIV$_{I}$,0.3091004475875238
1000,NIV$_{1 \textrm{ lag}}$,0.7792547674206933
1000,NIV$_{3 \textrm{ lags}}$,0.001871060160709368
10000,"CIV$_{I,X,Y}$",0.017705296197044404
10000,CIV$_{I}$,0.2935293861920061
10000,NIV$_{1 \textrm{ lag}}$,0.004551132052275571
10000,NIV$_{3 \textrm{ lags}}$,0.00025301610526005036
100,"CIV$_{I,X,Y}$",0.4051647278874614
100,CIV$_{I}$,0.29956027661589846
100,NIV$_{1 \textrm{ lag}}$,0.3451733494827587
100,NIV$_{3 \textrm{ lags}}$,0.15668360852526425
1000,"CIV$_{I,X,Y}$",0.036061831361439735
1000,CIV$_{I}$,0.030564731399752403
1000,NIV$_{1 \textrm{ lag}}$,0.46381921361356204
1000,NIV$_{3 \textrm{ lags}}$,0.01597008765745667
10000,"CIV$_{I,X,Y}$",0.003008827123042576
10000,CIV$_{I}$,0.002630496256186741
10000,NIV$_{1 \textrm{ lag}}$,17.4635561509701
10000,NIV$_{3 \textrm{ lags}}$,0.0009435034310668151
100,"CIV$_{I,X,Y}$",0.06327232016585953
100,CIV$_{I}$,0.09527600482201155
100,NIV$_{1 \textrm{ lag}}$,0.4338126496187427
100,NIV$_{3 \textrm{ lags}}$,0.02704503860759081
1000,"CIV$_{I,X,Y}$",0.004857797131386045
1000,CIV$_{I}$,0.0125534532980538
1000,NIV$_{1 \textrm{ lag}}$,0.0026293951457598357
1000,NIV$_{3 \textrm{ lags}}$,0.0017422508991579017
10000,"CIV$_{I,X,Y}$",0.00023965290871848563
10000,CIV$_{I}$,0.0004504160841008376
10000,NIV$_{1 \textrm{ lag}}$,0.00037177749545397434
10000,NIV$_{3 \textrm{ lags}}$,0.00012429713050842944
100,"CIV$_{I,X,Y}$",0.05656882721346233
100,CIV$_{I}$,0.417336190637487
100,NIV$_{1 \textrm{ lag}}$,3.925753849257677
100,NIV$_{3 \textrm{ lags}}$,0.09886836173266206
1000,"CIV$_{I,X,Y}$",0.006609851497916155
1000,CIV$_{I}$,0.026678712952535884
1000,NIV$_{1 \textrm{ lag}}$,2.864687019588827
1000,NIV$_{3 \textrm{ lags}}$,0.00156204382603172
10000,"CIV$_{I,X,Y}$",0.0004370139606001555
10000,CIV$_{I}$,0.00522017018875863
10000,NIV$_{1 \textrm{ lag}}$,0.058796563753752876
10000,NIV$_{3 \textrm{ lags}}$,0.0004622855091325936
100,"CIV$_{I,X,Y}$",0.7964160511914171
100,CIV$_{I}$,0.3187794109782245
100,NIV$_{1 \textrm{ lag}}$,0.7214184289374315
100,NIV$_{3 \textrm{ lags}}$,0.6221822627525173
1000,"CIV$_{I,X,Y}$",0.1735029557970014
1000,CIV$_{I}$,0.19431491061756145
1000,NIV$_{1 \textrm{ lag}}$,0.0888723478239684
1000,NIV$_{3 \textrm{ lags}}$,0.082289427953474
10000,"CIV$_{I,X,Y}$",0.015256125629573139
10000,CIV$_{I}$,0.02432392042839953
10000,NIV$_{1 \textrm{ lag}}$,0.011033921205892507
10000,NIV$_{3 \textrm{ lags}}$,0.010171897758677568
100,"CIV$_{I,X,Y}$",0.1960278700945531
100,CIV$_{I}$,10.215328601561708
100,NIV$_{1 \textrm{ lag}}$,87.79378625194082
100,NIV$_{3 \textrm{ lags}}$,0.06145508702914013
1000,"CIV$_{I,X,Y}$",0.023317560782133248
1000,CIV$_{I}$,0.24780387169945986
1000,NIV$_{1 \textrm{ lag}}$,37059.42915345486
1000,NIV$_{3 \textrm{ lags}}$,0.000717328556369459
10000,"CIV$_{I,X,Y}$",0.0027340260723521604
10000,CIV$_{I}$,0.012140475853172909
10000,NIV$_{1 \textrm{ lag}}$,0.0006510531221911346
10000,NIV$_{3 \textrm{ lags}}$,0.00014485837358720716
100,"CIV$_{I,X,Y}$",0.10697862700895562
100,CIV$_{I}$,0.14815080560214747
100,NIV$_{1 \textrm{ lag}}$,0.005987189050917222
100,NIV$_{3 \textrm{ lags}}$,0.007536631574721786
1000,"CIV$_{I,X,Y}$",0.0019259491472534151
1000,CIV$_{I}$,0.00200222191715576
1000,NIV$_{1 \textrm{ lag}}$,0.00042991777506644753
1000,NIV$_{3 \textrm{ lags}}$,0.0005780060787408259
10000,"CIV$_{I,X,Y}$",0.00022635599322804018
10000,CIV$_{I}$,0.00036267487806641667
10000,NIV$_{1 \textrm{ lag}}$,0.00012960052201682707
10000,NIV$_{3 \textrm{ lags}}$,9.087643257677671e-05
100,"CIV$_{I,X,Y}$",0.051493390710442746
100,CIV$_{I}$,0.6500910366620007
100,NIV$_{1 \textrm{ lag}}$,0.007290821873714814
100,NIV$_{3 \textrm{ lags}}$,0.005441467656578978
1000,"CIV$_{I,X,Y}$",0.0046836170105053485
1000,CIV$_{I}$,0.05444818909579807
1000,NIV$_{1 \textrm{ lag}}$,0.0007051107513755889
1000,NIV$_{3 \textrm{ lags}}$,0.0005842928662791721
10000,"CIV$_{I,X,Y}$",0.001677915280314823
10000,CIV$_{I}$,0.008517849637560375
10000,NIV$_{1 \textrm{ lag}}$,5.8657316471948715e-05
10000,NIV$_{3 \textrm{ lags}}$,4.3712285118692854e-05
100,"CIV$_{I,X,Y}$",0.11620705268178559
100,CIV$_{I}$,0.472823395345545
100,NIV$_{1 \textrm{ lag}}$,0.2744939142487949
100,NIV$_{3 \textrm{ lags}}$,0.04194031344378736
1000,"CIV$_{I,X,Y}$",0.005922011337751405
1000,CIV$_{I}$,0.016924193734943933
1000,NIV$_{1 \textrm{ lag}}$,0.3534981696776305
1000,NIV$_{3 \textrm{ lags}}$,0.01295592019868902
10000,"CIV$_{I,X,Y}$",0.00031765902146157446
10000,CIV$_{I}$,0.0012825252108570513
10000,NIV$_{1 \textrm{ lag}}$,0.008162412620201714
10000,NIV$_{3 \textrm{ lags}}$,0.0007526254789998492
100,"CIV$_{I,X,Y}$",0.35014639198519026
100,CIV$_{I}$,0.6582696452850211
100,NIV$_{1 \textrm{ lag}}$,0.18333661313649074
100,NIV$_{3 \textrm{ lags}}$,0.3750340123751461
1000,"CIV$_{I,X,Y}$",0.031509009505175455
1000,CIV$_{I}$,0.06936675118110544
1000,NIV$_{1 \textrm{ lag}}$,0.2822343870853719
1000,NIV$_{3 \textrm{ lags}}$,0.046860068553826094
10000,"CIV$_{I,X,Y}$",0.0072916318512856225
10000,CIV$_{I}$,0.005844782607260725
10000,NIV$_{1 \textrm{ lag}}$,0.010169884530042778
10000,NIV$_{3 \textrm{ lags}}$,0.01347512447755784
100,"CIV$_{I,X,Y}$",0.13647431844453825
100,CIV$_{I}$,1.6995912370297859
100,NIV$_{1 \textrm{ lag}}$,0.05118092670975007
100,NIV$_{3 \textrm{ lags}}$,0.07642433967956673
1000,"CIV$_{I,X,Y}$",0.015217417407417352
1000,CIV$_{I}$,0.16170699130902627
1000,NIV$_{1 \textrm{ lag}}$,0.006728330020910672
1000,NIV$_{3 \textrm{ lags}}$,0.008132322550396257
10000,"CIV$_{I,X,Y}$",0.0009045643485830106
10000,CIV$_{I}$,0.011466013633639433
10000,NIV$_{1 \textrm{ lag}}$,0.00019925565980825067
10000,NIV$_{3 \textrm{ lags}}$,0.00020386482665559396
100,"CIV$_{I,X,Y}$",0.16772973109100442
100,CIV$_{I}$,0.27038723686107635
100,NIV$_{1 \textrm{ lag}}$,1.8878277997132078
100,NIV$_{3 \textrm{ lags}}$,0.08461103781129813
1000,"CIV$_{I,X,Y}$",0.010884863587422213
1000,CIV$_{I}$,0.042206088251724845
1000,NIV$_{1 \textrm{ lag}}$,0.07404267719968723
1000,NIV$_{3 \textrm{ lags}}$,0.008027511491972176
10000,"CIV$_{I,X,Y}$",0.001302902612196589
10000,CIV$_{I}$,0.0033825521262694927
10000,NIV$_{1 \textrm{ lag}}$,0.003327411525010181
10000,NIV$_{3 \textrm{ lags}}$,0.0009372916916603885
100,"CIV$_{I,X,Y}$",0.09314901319976465
100,CIV$_{I}$,0.06954666092540113
100,NIV$_{1 \textrm{ lag}}$,0.023204431497322958
100,NIV$_{3 \textrm{ lags}}$,0.022237485157941522
1000,"CIV$_{I,X,Y}$",0.0033517224185272746
1000,CIV$_{I}$,0.005308419944605599
1000,NIV$_{1 \textrm{ lag}}$,0.0010240910234382667
1000,NIV$_{3 \textrm{ lags}}$,0.0011134125127446569
10000,"CIV$_{I,X,Y}$",0.0009128797630192159
10000,CIV$_{I}$,0.0011690020385975901
10000,NIV$_{1 \textrm{ lag}}$,0.00011276544995080801
10000,NIV$_{3 \textrm{ lags}}$,0.00018296693701534762
100,"CIV$_{I,X,Y}$",0.03575170160033239
100,CIV$_{I}$,0.03510271155548359
100,NIV$_{1 \textrm{ lag}}$,0.17744710055049873
100,NIV$_{3 \textrm{ lags}}$,0.10762446567277399
1000,"CIV$_{I,X,Y}$",0.003862289113282366
1000,CIV$_{I}$,0.003567850110078962
1000,NIV$_{1 \textrm{ lag}}$,0.009319844591939155
1000,NIV$_{3 \textrm{ lags}}$,0.00597515197022169
10000,"CIV$_{I,X,Y}$",0.00020274323593655677
10000,CIV$_{I}$,0.0002855592357045339
10000,NIV$_{1 \textrm{ lag}}$,0.0006741400576796405
10000,NIV$_{3 \textrm{ lags}}$,0.0002806721282677516
100,"CIV$_{I,X,Y}$",0.20726823331460512
100,CIV$_{I}$,0.7148105887475189
100,NIV$_{1 \textrm{ lag}}$,3.2021682864580705
100,NIV$_{3 \textrm{ lags}}$,0.023524739260294587
1000,"CIV$_{I,X,Y}$",0.011024194942877312
1000,CIV$_{I}$,0.2542261892915004
1000,NIV$_{1 \textrm{ lag}}$,0.08026714619170693
1000,NIV$_{3 \textrm{ lags}}$,0.0012662242765166321
10000,"CIV$_{I,X,Y}$",0.0010141413310267452
10000,CIV$_{I}$,0.030673868083529343
10000,NIV$_{1 \textrm{ lag}}$,58.34435100950445
10000,NIV$_{3 \textrm{ lags}}$,5.5339285230985884e-05
100,"CIV$_{I,X,Y}$",0.02180845670262383
100,CIV$_{I}$,0.07091631063748623
100,NIV$_{1 \textrm{ lag}}$,0.021529872778773197
100,NIV$_{3 \textrm{ lags}}$,0.005305643128795509
1000,"CIV$_{I,X,Y}$",0.0018933218175405438
1000,CIV$_{I}$,0.01828409472095268
1000,NIV$_{1 \textrm{ lag}}$,0.031384577574355046
1000,NIV$_{3 \textrm{ lags}}$,0.0014533656185902201
10000,"CIV$_{I,X,Y}$",0.0002978782620387409
10000,CIV$_{I}$,0.001029940620918642
10000,NIV$_{1 \textrm{ lag}}$,0.00023701770619514382
10000,NIV$_{3 \textrm{ lags}}$,0.00010788830728984519
100,"CIV$_{I,X,Y}$",0.10032643912796702
100,CIV$_{I}$,0.40222812483409864
100,NIV$_{1 \textrm{ lag}}$,0.7686453178388467
100,NIV$_{3 \textrm{ lags}}$,0.13772044356692253
1000,"CIV$_{I,X,Y}$",0.008168374632994241
1000,CIV$_{I}$,0.046845357272285344
1000,NIV$_{1 \textrm{ lag}}$,0.05502352867957376
1000,NIV$_{3 \textrm{ lags}}$,0.0016645361301364566
10000,"CIV$_{I,X,Y}$",0.0004925998595196175
10000,CIV$_{I}$,0.003804233656296817
10000,NIV$_{1 \textrm{ lag}}$,0.0006383928783815054
10000,NIV$_{3 \textrm{ lags}}$,0.00022389462353813427
100,"CIV$_{I,X,Y}$",0.2526043151764534
100,CIV$_{I}$,0.3748176870076838
100,NIV$_{1 \textrm{ lag}}$,1.2943990904682556
100,NIV$_{3 \textrm{ lags}}$,0.11405452204819147
1000,"CIV$_{I,X,Y}$",0.015400710820146657
1000,CIV$_{I}$,0.02162791757632884
1000,NIV$_{1 \textrm{ lag}}$,1.0072879014868192
1000,NIV$_{3 \textrm{ lags}}$,0.010004756581992617
10000,"CIV$_{I,X,Y}$",0.001421762362340887
10000,CIV$_{I}$,0.0028509010814394605
10000,NIV$_{1 \textrm{ lag}}$,0.004159679784881906
10000,NIV$_{3 \textrm{ lags}}$,0.0004530969916049672
100,"CIV$_{I,X,Y}$",0.08247764491421702
100,CIV$_{I}$,0.17882136832024959
100,NIV$_{1 \textrm{ lag}}$,0.06224714592282725
100,NIV$_{3 \textrm{ lags}}$,0.059069920430637426
