delta,n,method,error
1.0,50000,TS-NIV,0.0019283694449176434
0.0,100,TS-NIV,0.2312957357021975
0.0,500,TS-NIV,0.3362294533108531
0.0,1000,TS-NIV,0.9478286707967889
0.0,5000,TS-NIV,1.060695554626423
0.0,10000,TS-NIV,3.539762127030361
0.0,50000,TS-NIV,0.5505067668674595
0.01,100,TS-NIV,1.0959975663247976
0.01,500,TS-NIV,51.577919563893175
0.01,1000,TS-NIV,0.6008953300087112
0.01,5000,TS-NIV,0.48637752997160966
0.01,10000,TS-NIV,4.667625938650346
0.01,50000,TS-NIV,0.004397983279965027
0.1,100,TS-NIV,434.48504792774423
0.1,500,TS-NIV,1.361596249746855
0.1,1000,TS-NIV,0.47263326053282434
0.1,5000,TS-NIV,0.006763755329751453
0.1,10000,TS-NIV,0.05548438288146515
0.1,50000,TS-NIV,0.0036213381435836857
0.5,100,TS-NIV,0.13878128136299567
0.5,500,TS-NIV,0.014749714086808594
0.5,1000,TS-NIV,0.1124559348015628
0.5,5000,TS-NIV,0.0009951099301052676
0.5,10000,TS-NIV,0.00040467223127768696
0.5,50000,TS-NIV,6.730474670542252e-06
1.0,100,TS-NIV,0.0895343090145762
1.0,500,TS-NIV,0.009550324199609984
1.0,1000,TS-NIV,0.18465692019645646
1.0,5000,TS-NIV,0.17778681223299897
1.0,10000,TS-NIV,0.027912546331709254
1.0,50000,TS-NIV,0.0021491634712353692
0.0,100,TS-NIV,1.8028551711323808
0.0,500,TS-NIV,0.06722924182814276
0.0,1000,TS-NIV,705.2163114014011
0.0,5000,TS-NIV,0.8441768244757513
0.0,10000,TS-NIV,0.23623564917372936
0.0,50000,TS-NIV,0.00010232378228548158
0.01,100,TS-NIV,0.12219390073223219
0.01,500,TS-NIV,5.258399142652111
0.01,1000,TS-NIV,32.452045412361514
0.01,5000,TS-NIV,0.7497962703209264
0.01,10000,TS-NIV,0.9132788396269058
0.01,50000,TS-NIV,4.642599279578491
0.1,100,TS-NIV,0.03165320523589964
0.1,500,TS-NIV,2.313321710634497
0.1,1000,TS-NIV,0.01540359584304382
0.1,5000,TS-NIV,4.149281581854484
0.1,10000,TS-NIV,1.556533327318541
0.1,50000,TS-NIV,0.004651180593993801
0.5,100,TS-NIV,4.050558699823217
