delta,n,method,error
1.0,1000,TS-NIV,6.267135950726106
1.0,5000,TS-NIV,0.19710599592973232
1.0,10000,TS-NIV,0.6955455314047441
1.0,50000,TS-NIV,0.07184819677352045
0.0,100,TS-NIV,22.18426790613708
0.0,500,TS-NIV,0.026701574057837373
0.0,1000,TS-NIV,28.808917516635297
0.0,5000,TS-NIV,2.5558486203856527
0.0,10000,TS-NIV,21.317958265162524
0.0,50000,TS-NIV,13.433880747634387
0.01,100,TS-NIV,7.719407800639028
0.01,500,TS-NIV,0.09998860873527998
0.01,1000,TS-NIV,0.6766602291935448
0.01,5000,TS-NIV,0.048401551931508344
0.01,10000,TS-NIV,8.941131213830241
0.01,50000,TS-NIV,2.0774159329034596
0.1,100,TS-NIV,1.1988540705280837
0.1,500,TS-NIV,8.064956576559148
0.1,1000,TS-NIV,808.5165334291935
0.1,5000,TS-NIV,0.03260343280546694
0.1,10000,TS-NIV,0.01472230860366296
0.1,50000,TS-NIV,0.0008920914785871194
0.5,100,TS-NIV,2.885220662223057
0.5,500,TS-NIV,0.6462590684934671
0.5,1000,TS-NIV,0.15135529930008584
0.5,5000,TS-NIV,0.04207220323746384
0.5,10000,TS-NIV,0.12165139754653698
0.5,50000,TS-NIV,0.015466546221492449
1.0,100,TS-NIV,0.01778371643605141
1.0,500,TS-NIV,0.022184948642281238
1.0,1000,TS-NIV,0.037102001204562696
1.0,5000,TS-NIV,0.00753605299042674
1.0,10000,TS-NIV,0.0005442669203722968
1.0,50000,TS-NIV,0.0008279503612060939
0.0,100,TS-NIV,3.897687005246402
0.0,500,TS-NIV,16.635284625478615
0.0,1000,TS-NIV,14.669439510268099
0.0,5000,TS-NIV,0.2563518248151532
0.0,10000,TS-NIV,126.34237889744097
0.0,50000,TS-NIV,0.14037330905667494
0.01,100,TS-NIV,0.024326235561879874
0.01,500,TS-NIV,0.08902081837526357
0.01,1000,TS-NIV,13.245816793605972
0.01,5000,TS-NIV,18.98747471519955
0.01,10000,TS-NIV,0.1582220461375979
0.01,50000,TS-NIV,0.12624032814470754
0.1,100,TS-NIV,0.5504511015190368
0.1,500,TS-NIV,0.7457328875262434
0.1,1000,TS-NIV,1.6895403225924592
0.1,5000,TS-NIV,0.09569448257073752
0.1,10000,TS-NIV,0.06514946098352228
0.1,50000,TS-NIV,0.1393718629390195
0.5,100,TS-NIV,2.0514367673224094
0.5,500,TS-NIV,0.0513557401968348
0.5,1000,TS-NIV,0.20099900490315525
0.5,5000,TS-NIV,0.002504236047545084
0.5,10000,TS-NIV,0.015498537047029954
0.5,50000,TS-NIV,0.007264140445304466
1.0,100,TS-NIV,0.25201681965308
1.0,500,TS-NIV,0.03837360860004097
1.0,1000,TS-NIV,0.011554315091766815
1.0,5000,TS-NIV,0.001260328220009029
1.0,10000,TS-NIV,0.0005154761992347104
1.0,50000,TS-NIV,0.001343055833531486
0.0,100,TS-NIV,1.7157276409040174
0.0,500,TS-NIV,2.059283935392225
0.0,1000,TS-NIV,54.20505210819866
0.0,5000,TS-NIV,0.0929245526944227
0.0,10000,TS-NIV,24.734544144453697
0.0,50000,TS-NIV,7.666676084640542
0.01,100,TS-NIV,32188.777793098678
0.01,500,TS-NIV,1.2707486657448575
0.01,1000,TS-NIV,20.88659225557989
0.01,5000,TS-NIV,0.11147436748531239
0.01,10000,TS-NIV,2.278858528676695
0.01,50000,TS-NIV,2.8253686694645586
0.1,100,TS-NIV,5.963523444925937
0.1,500,TS-NIV,0.9386778906388238
0.1,1000,TS-NIV,0.26258797307823917
0.1,5000,TS-NIV,4.578088190791989
0.1,10000,TS-NIV,1.7235608242317446
0.1,50000,TS-NIV,0.018968344501456513
0.5,100,TS-NIV,0.10685199467583116
0.5,500,TS-NIV,0.031556655891074904
0.5,1000,TS-NIV,0.2259222984339055
0.5,5000,TS-NIV,0.0022597000929816635
0.5,10000,TS-NIV,0.001279880492022323
0.5,50000,TS-NIV,0.0007528213104498192
1.0,100,TS-NIV,0.07940353581928518
1.0,500,TS-NIV,0.0024772108007912056
1.0,1000,TS-NIV,0.0023982138673087003
1.0,5000,TS-NIV,0.06920249998733767
1.0,10000,TS-NIV,0.013412596847622379
1.0,50000,TS-NIV,2.21941243695168e-06
0.0,100,TS-NIV,0.01096308717318998
0.0,500,TS-NIV,263.46665314853135
0.0,1000,TS-NIV,8.600951638421812
0.0,5000,TS-NIV,3.4170632023114536
0.0,10000,TS-NIV,3.100993949839694
0.0,50000,TS-NIV,3.569023931040391
0.01,100,TS-NIV,0.6378791109541846
0.01,500,TS-NIV,0.022367200294671794
0.01,1000,TS-NIV,1.4771046967498862
0.01,5000,TS-NIV,340.5225663273044
0.01,10000,TS-NIV,0.2109678854370997
0.01,50000,TS-NIV,1.321314202355464
0.1,100,TS-NIV,1.9258067785094852
0.1,500,TS-NIV,0.12219500379937878
0.1,1000,TS-NIV,0.17862604139167654
0.1,5000,TS-NIV,40.447493969630315
0.1,10000,TS-NIV,1.572566300907893
0.1,50000,TS-NIV,0.191122082962414
0.5,100,TS-NIV,15.80282434891099
0.5,500,TS-NIV,0.011633054519067966
0.5,1000,TS-NIV,0.7898405083727618
0.5,5000,TS-NIV,0.03896652459971856
0.5,10000,TS-NIV,0.1262223135090527
0.5,50000,TS-NIV,0.0009685922774692074
1.0,100,TS-NIV,0.7395934432150386
1.0,500,TS-NIV,0.008235151282789586
1.0,1000,TS-NIV,0.03898655040013825
1.0,5000,TS-NIV,0.03641784613742777
1.0,10000,TS-NIV,0.01403523688425705
1.0,50000,TS-NIV,0.0038101565234972294
0.0,100,TS-NIV,0.40521751291354835
0.0,500,TS-NIV,1.1453971637679048
0.0,1000,TS-NIV,0.5364019934712349
0.0,5000,TS-NIV,1.1624486873281565
0.0,10000,TS-NIV,21.934470430455633
0.0,50000,TS-NIV,46.50649117152975
0.01,100,TS-NIV,74.93849892331038
0.01,500,TS-NIV,0.4669889906772843
0.01,1000,TS-NIV,6.832609518685425
0.01,5000,TS-NIV,0.41263133124074053
0.01,10000,TS-NIV,0.04471884579252238
0.01,50000,TS-NIV,0.030820073491621424
0.1,100,TS-NIV,1.0003067696946015
0.1,500,TS-NIV,0.019801886956888445
0.1,1000,TS-NIV,1.8720601328259836
0.1,5000,TS-NIV,0.26181123769850373
0.1,10000,TS-NIV,0.0647747206617998
0.1,50000,TS-NIV,0.00047549090870703954
0.5,100,TS-NIV,0.48134750162055295
0.5,500,TS-NIV,0.03862318955746755
0.5,1000,TS-NIV,0.8563092001561491
0.5,5000,TS-NIV,0.08376744075263638
0.5,10000,TS-NIV,0.06945198198094928
0.5,50000,TS-NIV,558.971248579196
1.0,100,TS-NIV,0.10029552617850197
1.0,500,TS-NIV,0.029298763097393342
1.0,1000,TS-NIV,0.003874614905001766
1.0,5000,TS-NIV,0.02512136025625291
1.0,10000,TS-NIV,0.0016382120837540692
1.0,50000,TS-NIV,0.0019444777489047548
0.0,100,TS-NIV,31.26753673754061
0.0,500,TS-NIV,823.8635159914137
0.0,1000,TS-NIV,96261.51797544424
0.0,5000,TS-NIV,0.5626456492752911
0.0,10000,TS-NIV,0.485385721248039
0.0,50000,TS-NIV,0.10301517325065633
0.01,100,TS-NIV,81.56286769517916
0.01,500,TS-NIV,26.036909031765262
0.01,1000,TS-NIV,0.34323480578388077
0.01,5000,TS-NIV,1.408693384755272
0.01,10000,TS-NIV,7.294955658378537
0.01,50000,TS-NIV,1.3757810984756031
0.1,100,TS-NIV,0.7283927528223941
0.1,500,TS-NIV,123.08781295843167
0.1,1000,TS-NIV,0.0253071703735764
0.1,5000,TS-NIV,0.5264352655921523
0.1,10000,TS-NIV,31.98336599989163
0.1,50000,TS-NIV,0.04147031171524703
0.5,100,TS-NIV,0.5432442762684104
0.5,500,TS-NIV,97.15654996914233
0.5,1000,TS-NIV,1.1394729746302308
0.5,5000,TS-NIV,0.1754904612934333
0.5,10000,TS-NIV,2.8937185505610943
0.5,50000,TS-NIV,0.558448603383714
1.0,100,TS-NIV,3.6171545826210387
1.0,500,TS-NIV,1.031285183314901
1.0,1000,TS-NIV,0.2110534900143447
1.0,5000,TS-NIV,0.00369767565924227
1.0,10000,TS-NIV,0.0013966558868394351
1.0,50000,TS-NIV,0.0012425016183744372
0.0,100,TS-NIV,2.034873428798869
0.0,500,TS-NIV,86.6087596434763
0.0,1000,TS-NIV,2788.3073800514267
0.0,5000,TS-NIV,0.9903090420824624
0.0,10000,TS-NIV,3.7445406819358027
0.0,50000,TS-NIV,2.3085713780216492
0.01,100,TS-NIV,0.8453696190645246
0.01,500,TS-NIV,3.7896040220497067
0.01,1000,TS-NIV,0.038010165082442954
0.01,5000,TS-NIV,38.58740680310498
0.01,10000,TS-NIV,0.6486402705553744
0.01,50000,TS-NIV,3.1130919715065803
0.1,100,TS-NIV,0.753711329091626
0.1,500,TS-NIV,0.07755334720510683
0.1,1000,TS-NIV,44.34069166295073
0.1,5000,TS-NIV,0.5871840575301939
0.1,10000,TS-NIV,3.258191506237435
0.1,50000,TS-NIV,0.31119138822247616
0.5,100,TS-NIV,5.564588743398522
0.5,500,TS-NIV,7.2267452286659255
0.5,1000,TS-NIV,1.3323102225782348
0.5,5000,TS-NIV,11.74044166900062
0.5,10000,TS-NIV,0.001559298564516108
0.5,50000,TS-NIV,0.9008279835746104
1.0,100,TS-NIV,0.9523765260942595
1.0,500,TS-NIV,0.14522850541532176
1.0,1000,TS-NIV,0.9239895910434267
1.0,5000,TS-NIV,0.0030633572566136696
1.0,10000,TS-NIV,0.0006905162158182504
1.0,50000,TS-NIV,0.003886155861236095
0.0,100,TS-NIV,0.26752672111577325
0.0,500,TS-NIV,4.024461420700457
0.0,1000,TS-NIV,0.03310871536827577
0.0,5000,TS-NIV,0.019924639730470005
0.0,10000,TS-NIV,0.6019857014084327
0.0,50000,TS-NIV,4.414867215797305e-05
0.01,100,TS-NIV,1.0466898669731242
0.01,500,TS-NIV,1.8487668409523565
0.01,1000,TS-NIV,42.14966990268481
0.01,5000,TS-NIV,1.1875938004360589
0.01,10000,TS-NIV,1.3469383045568641
0.01,50000,TS-NIV,13499.116207473235
0.1,100,TS-NIV,2.7279683343205896
0.1,500,TS-NIV,2.598417243331028
0.1,1000,TS-NIV,0.2454767880052626
0.1,5000,TS-NIV,0.3860971242467298
0.1,10000,TS-NIV,0.20502746441308395
0.1,50000,TS-NIV,0.01605301923587455
0.5,100,TS-NIV,229.44489037067314
0.5,500,TS-NIV,0.5700701689682963
0.5,1000,TS-NIV,0.007163452914143562
0.5,5000,TS-NIV,0.0042360821661127715
0.5,10000,TS-NIV,0.006559124129819634
0.5,50000,TS-NIV,5.803669314233993e-06
1.0,100,TS-NIV,2.5896797319784604
1.0,500,TS-NIV,0.11876686830351735
1.0,1000,TS-NIV,0.0027022549708330358
1.0,5000,TS-NIV,0.00020049648913684543
1.0,10000,TS-NIV,0.0022383092819726535
1.0,50000,TS-NIV,0.0024309297800480063
0.0,100,TS-NIV,1.2060404263793938
0.0,500,TS-NIV,24.60081457686963
0.0,1000,TS-NIV,6.48579158306826
0.0,5000,TS-NIV,0.02863187327221698
0.0,10000,TS-NIV,1.9426214045662542
0.0,50000,TS-NIV,10.523474039802839
0.01,100,TS-NIV,23.897997654262667
0.01,500,TS-NIV,0.19658202894055113
0.01,1000,TS-NIV,1.580564328759234
0.01,5000,TS-NIV,0.290669898537319
0.01,10000,TS-NIV,0.22874083178069166
0.01,50000,TS-NIV,0.03729977669728534
0.1,100,TS-NIV,54.93042006609157
0.1,500,TS-NIV,0.11999644866795295
0.1,1000,TS-NIV,0.17288975279017377
0.1,5000,TS-NIV,0.47667621527666143
0.1,10000,TS-NIV,2.302122311284453
0.1,50000,TS-NIV,0.16494680675273718
0.5,100,TS-NIV,17.589594475275188
0.5,500,TS-NIV,0.170362916730383
0.5,1000,TS-NIV,0.012868134643872722
0.5,5000,TS-NIV,0.0008500956572957677
0.5,10000,TS-NIV,0.003961275810292412
0.5,50000,TS-NIV,8.015944581231796e-05
1.0,100,TS-NIV,2.4067841065155693
1.0,500,TS-NIV,1.9685833670240687
1.0,1000,TS-NIV,0.12656040088806142
1.0,5000,TS-NIV,0.016421191955592877
1.0,10000,TS-NIV,0.022075702653676796
1.0,50000,TS-NIV,0.0006105405785520126
0.0,100,TS-NIV,0.05046344900877999
0.0,500,TS-NIV,0.009923443803682637
0.0,1000,TS-NIV,0.05607134504807027
0.0,5000,TS-NIV,0.06484266734796715
0.0,10000,TS-NIV,0.06472594657724325
0.0,50000,TS-NIV,14.777447446225427
0.01,100,TS-NIV,5.124076926173675
0.01,500,TS-NIV,1.0371393769698054
0.01,1000,TS-NIV,0.16623001939266285
0.01,5000,TS-NIV,0.24516156981772744
0.01,10000,TS-NIV,105.3601077221345
0.01,50000,TS-NIV,42.475412820409026
0.1,100,TS-NIV,38.11061861651572
0.1,500,TS-NIV,0.13308349042308992
0.1,1000,TS-NIV,9.463027540323088
0.1,5000,TS-NIV,0.9273924665480537
0.1,10000,TS-NIV,0.00024373550304482275
0.1,50000,TS-NIV,0.0271232410200595
0.5,100,TS-NIV,0.30264028820629013
0.5,500,TS-NIV,0.10353083649191708
0.5,1000,TS-NIV,0.1243673550038285
0.5,5000,TS-NIV,0.001893611253472299
0.5,10000,TS-NIV,2.9510670935739018e-05
0.5,50000,TS-NIV,0.000596481190506464
1.0,100,TS-NIV,2.95116024015629
1.0,500,TS-NIV,0.028574240151201732
1.0,1000,TS-NIV,0.0006282159772594334
1.0,5000,TS-NIV,0.0015401440144575643
1.0,10000,TS-NIV,0.004619307102701729
1.0,50000,TS-NIV,0.00040122476822916213
0.0,100,TS-NIV,0.020582145314792764
0.0,500,TS-NIV,0.265190117856082
0.0,1000,TS-NIV,43.22205708738298
0.0,5000,TS-NIV,0.18838210247032
0.0,10000,TS-NIV,6.253412066974751
0.0,50000,TS-NIV,8.539169536595633
0.01,100,TS-NIV,1.3426397504273306
0.01,500,TS-NIV,0.6997773832657623
0.01,1000,TS-NIV,568.6676592045752
0.01,5000,TS-NIV,0.18237831327702578
0.01,10000,TS-NIV,2.833243460995808
0.01,50000,TS-NIV,0.17145856817678884
0.1,100,TS-NIV,3.505958976164334
0.1,500,TS-NIV,793.7439486665805
0.1,1000,TS-NIV,2.7182219488479022
0.1,5000,TS-NIV,54.29992719512536
0.1,10000,TS-NIV,0.18961808806686006
0.1,50000,TS-NIV,0.7119262003150797
0.5,100,TS-NIV,0.07715434735651278
0.5,500,TS-NIV,0.004992758912694892
0.5,1000,TS-NIV,0.035729463329827904
0.5,5000,TS-NIV,0.013954079674867684
0.5,10000,TS-NIV,0.00020050195955370349
0.5,50000,TS-NIV,2.1254935604633986e-05
1.0,100,TS-NIV,0.22843426028924438
1.0,500,TS-NIV,8.679990012395262
1.0,1000,TS-NIV,0.0261028393652639
1.0,5000,TS-NIV,0.0025784120707240303
1.0,10000,TS-NIV,0.018408446423326046
1.0,50000,TS-NIV,0.0008667204787105687
0.0,100,TS-NIV,0.3664402691622742
0.0,500,TS-NIV,2.382056555277431
0.0,1000,TS-NIV,0.021674864266325825
0.0,5000,TS-NIV,92.62016865036674
0.0,10000,TS-NIV,0.06624923664261155
0.0,50000,TS-NIV,22.701829674016594
0.01,100,TS-NIV,6.849732656590661
0.01,500,TS-NIV,8.05856288030193
0.01,1000,TS-NIV,0.5662312679157527
0.01,5000,TS-NIV,5.4008040789466225
0.01,10000,TS-NIV,0.6737836707105664
0.01,50000,TS-NIV,8.238103467887946
0.1,100,TS-NIV,0.8705232351576803
0.1,500,TS-NIV,280.8229163144059
0.1,1000,TS-NIV,2.5913571327029588
0.1,5000,TS-NIV,0.12160754793197556
0.1,10000,TS-NIV,0.6401352717721811
0.1,50000,TS-NIV,0.011820098249335739
0.5,100,TS-NIV,0.07455882765647166
0.5,500,TS-NIV,0.9557677167579326
0.5,1000,TS-NIV,0.9195113438439859
0.5,5000,TS-NIV,0.019883446796657052
0.5,10000,TS-NIV,0.2885794364166734
0.5,50000,TS-NIV,0.053133999129930415
1.0,100,TS-NIV,0.8532840362941102
1.0,500,TS-NIV,0.023262588381438024
1.0,1000,TS-NIV,0.01171149834413213
1.0,5000,TS-NIV,0.0027458223241235242
1.0,10000,TS-NIV,0.0009195525297352788
1.0,50000,TS-NIV,0.00012609053882856551
0.0,100,TS-NIV,0.2952664089923589
0.0,500,TS-NIV,2.353592919317678
0.0,1000,TS-NIV,0.46307861206046097
0.0,5000,TS-NIV,303.24849680153176
0.0,10000,TS-NIV,0.8029582028577931
0.0,50000,TS-NIV,190.86608178109168
0.01,100,TS-NIV,1.271627873105057
0.01,500,TS-NIV,14.988637951570183
0.01,1000,TS-NIV,1.163932177626678
0.01,5000,TS-NIV,0.12393945106977075
0.01,10000,TS-NIV,1.1611532159017521
0.01,50000,TS-NIV,13.954009215001253
0.1,100,TS-NIV,0.20626785821782428
0.1,500,TS-NIV,0.09640781754514843
0.1,1000,TS-NIV,1.52153986915708
0.1,5000,TS-NIV,60.31583762732238
0.1,10000,TS-NIV,8.417886045147547
0.1,50000,TS-NIV,0.7600458368617033
0.5,100,TS-NIV,2.7236912753407947
0.5,500,TS-NIV,0.45121657696592316
0.5,1000,TS-NIV,0.4069176242612829
0.5,5000,TS-NIV,0.0007762839747671449
0.5,10000,TS-NIV,0.08644028394017995
0.5,50000,TS-NIV,0.0005343438313279881
1.0,100,TS-NIV,2.97520901100918
1.0,500,TS-NIV,0.03837581761452794
1.0,1000,TS-NIV,0.0015082152451877497
1.0,5000,TS-NIV,0.0004636456496309644
1.0,10000,TS-NIV,0.00025090136601851366
1.0,50000,TS-NIV,0.0003729325123131447
0.0,100,TS-NIV,9.087760212653226
0.0,500,TS-NIV,0.010816787393248947
0.0,1000,TS-NIV,0.016432101922114146
0.0,5000,TS-NIV,1.4256681645870652
0.0,10000,TS-NIV,0.2023096270050941
0.0,50000,TS-NIV,0.058220335240308126
0.01,100,TS-NIV,5.540571862691681
0.01,500,TS-NIV,0.007407156008941103
0.01,1000,TS-NIV,0.334423600349003
0.01,5000,TS-NIV,0.6910783531461591
0.01,10000,TS-NIV,1.4082801913251581
0.01,50000,TS-NIV,0.12191095723720835
0.1,100,TS-NIV,30.891600541351192
0.1,500,TS-NIV,0.7023213379279403
0.1,1000,TS-NIV,2.9306761000703077
0.1,5000,TS-NIV,0.018798742003244828
0.1,10000,TS-NIV,0.9872537551631807
0.1,50000,TS-NIV,1.3299303871823145
0.5,100,TS-NIV,0.08764242347906923
0.5,500,TS-NIV,0.040681249857544274
0.5,1000,TS-NIV,0.7661926513328277
0.5,5000,TS-NIV,0.00017145010174755672
0.5,10000,TS-NIV,0.01241896037713565
0.5,50000,TS-NIV,0.001985103634889817
1.0,100,TS-NIV,0.3654774907697412
1.0,500,TS-NIV,0.016085461146801424
1.0,1000,TS-NIV,0.014023728488316473
1.0,5000,TS-NIV,0.001013786431536432
1.0,10000,TS-NIV,0.0005010598329918551
1.0,50000,TS-NIV,1.0059004866195246e-06
0.0,100,TS-NIV,0.2734824708327588
0.0,500,TS-NIV,48.00440056186058
0.0,1000,TS-NIV,0.13725613996846267
0.0,5000,TS-NIV,0.0317731850609743
0.0,10000,TS-NIV,343.69558381365255
0.0,50000,TS-NIV,0.21648903908506348
0.01,100,TS-NIV,0.030441144492821908
0.01,500,TS-NIV,4.360198451640651
0.01,1000,TS-NIV,0.41893735007763855
0.01,5000,TS-NIV,129.2298306985207
0.01,10000,TS-NIV,0.0473735342525318
0.01,50000,TS-NIV,3.512630914756496
0.1,100,TS-NIV,0.6245707894214478
0.1,500,TS-NIV,0.3493062002855416
0.1,1000,TS-NIV,0.12404867857242134
0.1,5000,TS-NIV,0.06462655773621531
0.1,10000,TS-NIV,0.016854754039550626
0.1,50000,TS-NIV,0.002400219197157785
0.5,100,TS-NIV,0.24070030899016165
0.5,500,TS-NIV,0.2376516954285669
0.5,1000,TS-NIV,0.061652439122744845
0.5,5000,TS-NIV,0.003935223221648854
0.5,10000,TS-NIV,0.004426426210542237
0.5,50000,TS-NIV,0.001746568699330171
1.0,100,TS-NIV,0.12375383028112183
1.0,500,TS-NIV,13.2346424067406
1.0,1000,TS-NIV,0.08956396293039257
1.0,5000,TS-NIV,0.2279949533819962
1.0,10000,TS-NIV,1.5287602397477391
1.0,50000,TS-NIV,0.0068177151936497345
0.0,100,TS-NIV,0.4034380491001572
0.0,500,TS-NIV,1.5589083040468101
0.0,1000,TS-NIV,1.9112368361620709
0.0,5000,TS-NIV,0.039325049961288175
0.0,10000,TS-NIV,1390639.2891020658
0.0,50000,TS-NIV,3135.1361169370302
0.01,100,TS-NIV,0.13846456981382604
0.01,500,TS-NIV,0.056587654899804204
0.01,1000,TS-NIV,0.02348762736036127
0.01,5000,TS-NIV,8382.90512919768
0.01,10000,TS-NIV,31.18762970683826
0.01,50000,TS-NIV,0.02891226116796497
0.1,100,TS-NIV,3.6237538197076913
0.1,500,TS-NIV,0.10595156712440203
0.1,1000,TS-NIV,0.3123862014529599
0.1,5000,TS-NIV,2.2296272315115626
0.1,10000,TS-NIV,0.26863711590247136
0.1,50000,TS-NIV,4.335347248466553
0.5,100,TS-NIV,49.794036990816004
0.5,500,TS-NIV,30.976713130828387
0.5,1000,TS-NIV,67.53069989660013
0.5,5000,TS-NIV,2.9815536721993037
0.5,10000,TS-NIV,0.0012194057582835666
0.5,50000,TS-NIV,1.7181059400297503
1.0,100,TS-NIV,0.3681846862443373
1.0,500,TS-NIV,0.04930633366991871
1.0,1000,TS-NIV,0.0008305469680483232
1.0,5000,TS-NIV,0.0007366827431326768
1.0,10000,TS-NIV,0.0009907403165416104
1.0,50000,TS-NIV,7.06218059381803e-05
0.0,100,TS-NIV,1.3086185255393545
0.0,500,TS-NIV,0.14587558254277055
0.0,1000,TS-NIV,43.64664636640501
0.0,5000,TS-NIV,0.39504334605819175
0.0,10000,TS-NIV,3.0557698091797176
0.0,50000,TS-NIV,0.06062004592336466
0.01,100,TS-NIV,0.293325663430825
0.01,500,TS-NIV,0.04476843950548491
0.01,1000,TS-NIV,0.8693899778429393
0.01,5000,TS-NIV,18.686062702554253
0.01,10000,TS-NIV,2.982227631931837
0.01,50000,TS-NIV,3.946807609521894
0.1,100,TS-NIV,1728.215458604488
0.1,500,TS-NIV,0.051049648489797234
0.1,1000,TS-NIV,9.820973211520181
0.1,5000,TS-NIV,0.2700146705498586
0.1,10000,TS-NIV,1.7044322402768666
0.1,50000,TS-NIV,37.376154335603516
0.5,100,TS-NIV,4.698954919590825
0.5,500,TS-NIV,0.04199014995450039
0.5,1000,TS-NIV,0.006545119732563257
0.5,5000,TS-NIV,0.04385844159829201
0.5,10000,TS-NIV,0.0001238783819418303
0.5,50000,TS-NIV,0.0002955249765630353
1.0,100,TS-NIV,1.0450588039521296
1.0,500,TS-NIV,0.06868112312923944
1.0,1000,TS-NIV,0.007353237670487388
1.0,5000,TS-NIV,0.024630313981615477
1.0,10000,TS-NIV,0.01074038207106007
1.0,50000,TS-NIV,0.00016955113485627287
0.0,100,TS-NIV,0.029094688785698635
0.0,500,TS-NIV,1.0679377620439332
0.0,1000,TS-NIV,0.6889610759068053
0.0,5000,TS-NIV,71.73058682461252
0.0,10000,TS-NIV,1.4792971064324987
0.0,50000,TS-NIV,5.4142392066918985
0.01,100,TS-NIV,1.4153374183688654
0.01,500,TS-NIV,0.013231283670116743
0.01,1000,TS-NIV,0.025507259814891506
0.01,5000,TS-NIV,4.804778111101506
0.01,10000,TS-NIV,0.466522010297958
0.01,50000,TS-NIV,0.17776550480827547
0.1,100,TS-NIV,5.105773643650062
0.1,500,TS-NIV,0.4817886185716021
0.1,1000,TS-NIV,1.7932400826820432
0.1,5000,TS-NIV,0.13696491023522095
0.1,10000,TS-NIV,8.187910681972937
0.1,50000,TS-NIV,25.833624447936874
0.5,100,TS-NIV,0.20065235982232604
0.5,500,TS-NIV,0.08303367384135489
0.5,1000,TS-NIV,0.021719433168923007
0.5,5000,TS-NIV,0.00029202942787495825
0.5,10000,TS-NIV,0.002437949841934393
0.5,50000,TS-NIV,2.772684730983133e-05
1.0,100,TS-NIV,0.08659781738769536
1.0,500,TS-NIV,0.029967953259562106
1.0,1000,TS-NIV,0.07129486102626864
1.0,5000,TS-NIV,0.01340258539507833
1.0,10000,TS-NIV,0.0265709317042721
1.0,50000,TS-NIV,0.010702781920090165
0.0,100,TS-NIV,890.9412157147015
0.0,500,TS-NIV,0.07628039158423557
0.0,1000,TS-NIV,781.4404104543689
0.0,5000,TS-NIV,0.009184154585077842
0.0,10000,TS-NIV,6.839558864056664
0.0,50000,TS-NIV,102630.35884871818
0.01,100,TS-NIV,85.82528650170391
0.01,500,TS-NIV,0.254078812487167
0.01,1000,TS-NIV,0.01717356935045115
0.01,5000,TS-NIV,0.05905811084618591
0.01,10000,TS-NIV,1.2676597188279668
0.01,50000,TS-NIV,16.073728002053972
0.1,100,TS-NIV,0.07627932293067334
0.1,500,TS-NIV,0.0029782851267775036
0.1,1000,TS-NIV,1.811207301590152
0.1,5000,TS-NIV,56.52775251981871
0.1,10000,TS-NIV,7.931445404911517
0.1,50000,TS-NIV,0.08815345262255243
0.5,100,TS-NIV,1.2612897359178104
0.5,500,TS-NIV,0.12346814153622124
0.5,1000,TS-NIV,0.044499644421089044
0.5,5000,TS-NIV,0.03527004881453384
0.5,10000,TS-NIV,0.0017727056643081754
0.5,50000,TS-NIV,0.004986296526644564
1.0,100,TS-NIV,5.415453850588008
1.0,500,TS-NIV,0.07693967034209938
1.0,1000,TS-NIV,4666.427642631332
1.0,5000,TS-NIV,0.008960951878324526
1.0,10000,TS-NIV,3.386439485641296e-05
1.0,50000,TS-NIV,0.004708866769705409
0.0,100,TS-NIV,4.830878197666713
0.0,500,TS-NIV,0.18381295284446092
0.0,1000,TS-NIV,0.9973074655317171
0.0,5000,TS-NIV,14.831852749039435
0.0,10000,TS-NIV,37.16268703273941
0.0,50000,TS-NIV,1.2862995871328904
0.01,100,TS-NIV,5.77406269480473
0.01,500,TS-NIV,2.85652782037902
0.01,1000,TS-NIV,9.448738042611003
0.01,5000,TS-NIV,23.570099473178104
0.01,10000,TS-NIV,9.804796235749247
0.01,50000,TS-NIV,21.43902107110479
0.1,100,TS-NIV,91.57787297923616
0.1,500,TS-NIV,11.302834522889086
0.1,1000,TS-NIV,0.1490409154118176
0.1,5000,TS-NIV,0.04990405378305581
0.1,10000,TS-NIV,0.31939683605247565
0.1,50000,TS-NIV,6.911463204998231e-05
0.5,100,TS-NIV,0.10242036194818327
0.5,500,TS-NIV,1.208626006906211
0.5,1000,TS-NIV,230.61883159368492
0.5,5000,TS-NIV,0.012408047289931595
0.5,10000,TS-NIV,0.009084601184059028
0.5,50000,TS-NIV,0.0018568850905801453
1.0,100,TS-NIV,0.04217029313065584
1.0,500,TS-NIV,0.05271746687322
1.0,1000,TS-NIV,0.13022390889858101
1.0,5000,TS-NIV,0.00435303170949362
1.0,10000,TS-NIV,0.0003112301343194129
1.0,50000,TS-NIV,0.0005154975743747188
0.0,100,TS-NIV,3.1591739156561083
0.0,500,TS-NIV,203.05793858871178
0.0,1000,TS-NIV,1.1663934584554965
0.0,5000,TS-NIV,0.20086091744245915
0.0,10000,TS-NIV,0.8475133742465626
0.0,50000,TS-NIV,0.4036337426641424
0.01,100,TS-NIV,0.026045969836363845
0.01,500,TS-NIV,0.2881112789025174
0.01,1000,TS-NIV,0.31357181681176644
0.01,5000,TS-NIV,0.07385943486962976
0.01,10000,TS-NIV,18.748214136077593
0.01,50000,TS-NIV,0.6970462069723333
0.1,100,TS-NIV,0.7774184629705089
0.1,500,TS-NIV,2.873898558731996
0.1,1000,TS-NIV,5.936492489047406
0.1,5000,TS-NIV,0.14691937795841428
0.1,10000,TS-NIV,2.8108231639989407
